name,location,price,capacity,rating,reviews,description
Terminus 330,"Atlanta, Georgia","$23,000",151-200 Guests,4.9,17,An award-winning venue located in the heart of downtown Atlanta with outdoor event space.
Journeyman's Hall,"Atlanta, GA","$2,000",151-200 Guests,5,4,A wedding venue in South Downtown Atlanta offering custom wedding creation by Chef Vincent Marra.
Monday Night Brewing: The Garage,Metro Atlanta,"$3,500",300+ Guests,4.9,14,A charming private event space with historic charm and ample natural light.
Emory Conference Center Hotel,"Atlanta, GA","$12,100",300+ Guests,4.8,41,"An elegant venue with outdoor space, convenient location near Hartsfield International Airport."
Park Tavern: The Piedmont Room & Piedmont Garden Tent,Georgia,"$7,000",251-300 Guests,4.7,133,"Overlooks Piedmont Park, offering indoor and outdoor spaces with city skylines."
Wahoo! Grill,"Decatur, GA","$3,000",201-250 Guests,5,107,Full-service event space with outstanding staff for weddings and receptions.
The Kimpton Shane,Atlanta,"$7,500",51-100 Guests,0,0,A boutique hotel with stunning architecture and stylish furnishings.
Factory Atlanta,"Atlanta, GA","$5,850",300+ Guests,5,6,An industrial-chic venue perfect for creative couples.
FORTH Hotel Atlanta,Georgia,"$25,000",151-200 Guests,0,0,A luxury venue in Old Fourth Ward with outdoor space.
Atlanta Botanical Garden,"Atlanta, GA",,151-200 Guests,4.7,21,An urban oasis with lush lawns and tropical foliage.
The Westside Warehouse,"Atlanta, GA","$3,750",151-200 Guests,5,37,A converted warehouse with cathedral ceilings in west-midtown.
Waldorf Astoria Atlanta Buckhead,"Atlanta, GA","$12,000",51-100 Guests,4.9,7,Luxury venue with Southern charm in a prestigious neighborhood.
Historic DeKalb Courthouse,"Decatur, GA",$450,101-150 Guests,4.8,93,Elegant courthouse with marble courtroom and high ceilings.
Swan Coach House,"Atlanta, GA","$2,000",101-150 Guests,4.5,8,Historic estate in Buckhead with elegant spaces.
THE TROLLEY BARN,"Atlanta, GA","$3,850",201-250 Guests,4.2,43,Historic structure with hardwood floors and garden area.
42West Entertainment Group,"Atlanta, GA","$12,000",251-300 Guests,5,6,Blend of industrial modernity and refined elegance.
Renaissance Concourse Atlanta Airport Hotel,"Atlanta, GA",,300+ Guests,0,0,Elegant hotel combining luxury and convenience.
Intercontinental Buckhead Atlanta,"Atlanta, GA",$225,300+ Guests,5,8,Luxury hotel with classic charm and modern amenities.
Grand Hyatt Atlanta in Buckhead,"Atlanta, GA","$12,500",300+ Guests,5,4,Luxurious venue with a down-to-earth vibe.
Renaissance Atlanta Midtown Hotel,Midtown Atlanta,,300+ Guests,5,2,Located in the arts and music district.
Callanwolde Fine Arts Center,Georgia,"$8,400",151-200 Guests,4.6,38,Historic arts center with sprawling grounds.
Omni Atlanta Hotel at Centennial Park,"Atlanta, GA","$7,100",300+ Guests,5,2,Hotel with banquet and catering services downtown.
The Wimbish House,"Atlanta, GA",,201-250 Guests,4.9,85,Victorian-era home with historic charm.
SCAD Ivy Hall,"Atlanta, GA","$4,500",101-150 Guests,4.5,4,Historic building designed by Gottfried L. Norrman.
Rhodes Hall,"Atlanta, GA",,101-150 Guests,4.5,21,Known as the 'Castle on Peachtree' with unique architecture.
Hotel Colee,"Atlanta, GA",,251-300 Guests,0,0,Award-winning hotel with modern redevelopment.
Epicurean Hotel Atlanta,"Atlanta, GA",,101-150 Guests,5,3,"Luxe venue with sleek, modern architecture."
Pristine Chapel Lakeside,"Jonesboro, GA","$8,495",251-300 Guests,4.8,105,Luxe ceremony and reception venue with lakeside views.
Enon Ranch,"Atlanta, GA","$9,500",251-300 Guests,5,2,Rustic event space offering countryside charm.
Olde Towne Special Events,"Atlanta, GA","$9,950",151-200 Guests,5,67,Full-service events facility with stylish backdrop.
Vecoma At The Yellow River,"Snellville, GA","$2,500",251-300 Guests,4.9,202,"Nestled on 70 acres of lush forest along the scenic Yellow River, Vecoma at the Yellow River is one of metro Atlanta's premier all-inclusive wedding venues."
Primrose Cottage,"Roswell, GA",Not provided,300+ Guests,4.9,273,"Primrose Cottage is an enchanting wedding venue located in Roswell, GA, situated on a stately front lawn in Historic Roswell."
Flint Hill,"Norcross, GA",Not provided,251-300 Guests,4.8,207,"Flint Hill is a beautifully restored historic mansion located on a private estate in Norcross, GA, featuring recently renovated farmhouse décor."
Country Club of Roswell,"Roswell, GA",Not provided,201-250 Guests,4.7,23,Country Club of Roswell offers intimate celebrations for less than 50 guests or larger receptions with over 200 guests.
Roswell Historic Hall,"Roswell, GA","$8,450",300+ Guests,4.6,47,"Roswell Historic Hall is a romantic wedding venue in Roswell, GA, offering spaces for weddings, graduations, and other events."
Kimball Hall,"Roswell, GA","$13,250",151-200 Guests,5.0,165,Kimball Hall is a newly refurnished and renovated venue seating up to 200 guests with indoor and outdoor ceremony sites.
Little Gardens,"Lawrenceville, GA",Not provided,251-300 Guests,4.9,216,"Little Gardens in Lawrenceville, GA, is a serene wedding venue with indoor and outdoor spaces featuring a manor house and green grounds."
Stanley House Mansion,"Marietta, GA","$2,000",101-150 Guests,5.0,51,"Stanley House Mansion is a stunning wedding venue in Marietta, GA, exuding history and classic Southern charm."
Naylor Hall,"Roswell, GA","$11,450",201-250 Guests,5.0,176,"Naylor Hall is a grand old dame brought into the 21st century with a complete makeover, perfect for weddings."
The Atrium,"Norcross, GA",Not provided,101-150 Guests,4.8,152,"The Atrium is a contemporary wedding venue in Norcross, GA, featuring a mezzanine level overlooking a two-story glass atrium."
Brick and Ivey,"Marietta, GA","$11,500",151-200 Guests,5.0,106,Brick and Ivey is North Atlanta's newest wedding venue with exposed white brick walls and separate event spaces.
Ivy Hall,"Roswell, GA","$18,000",201-250 Guests,5.0,89,"Ivy Hall is part of the Roswell Mill property, offering a unique and historic wedding venue in Roswell, GA."
Douglasville Conference Center,"Douglasville, GA",Not provided,300+ Guests,3.0,1,"Douglasville Conference Center is a wedding venue in downtown Douglasville, GA, offering elegant spaces and exemplary service."
Huntcliff River Club,"Atlanta Area, GA",Not provided,101-150 Guests,4.9,30,Huntcliff River Club is a charming wedding venue surrounded by century-old river oaks and manicured lawns.
Casa Hacienda,"Marietta, GA","$2,000",201-250 Guests,New,New,"Casa Hacienda is a fantastic wedding and event venue in Marietta, GA, offering exceptional spaces for celebrations."
Eden Garden House,"Lithonia, GA","$3,000",151-200 Guests,New,New,"Eden Garden House is a beautiful wedding venue in Lithonia, GA, with a garden house facility perfect for special events."
The 173 Carlyle House,"Norcross, GA","$9,250",300+ Guests,4.9,113,"The 173 Carlyle House is a turn-of-the-century mansion in Norcross, GA, with elegant rooms and manicured grounds."
Roswell Mill Club,"Roswell, GA","$11,000",151-200 Guests,4.8,41,"Roswell Mill Club is a historic wedding venue in Roswell, GA, offering a unique and cherished piece of Southern history."
Whitestone Reserve,"Austell, GA","$16,000",101-150 Guests,5.0,21,Whitestone Reserve is a stunning new metro Atlanta wedding venue with chandeliers and natural lighting.
The Reserves at Hamilton Homes,"Mableton, GA","$3,000",101-150 Guests,5.0,1,"The Reserves at Hamilton Homes is a wedding venue in Mableton, GA, offering gorgeous sunset views and timeless interiors."
Chattahoochee Nature Center,"Roswell, GA","$1,300",151-200 Guests,4.9,40,"Chattahoochee Nature Center is a wedding venue in Roswell, GA, connecting people with nature for their special day."
Breckinridge Banquet Hall,"Duluth, GA","$4,050",101-150 Guests,4.8,27,"Breckinridge Banquet Hall is an upscale wedding venue in Duluth, GA, offering a memorable locale for celebrations."
Westin Atlanta Airport,"Atlanta, GA",Not provided,300+ Guests,4.0,4,Westin Atlanta Airport is a convenient wedding venue near Hartsfield-Jackson International Airport.
The Foxglove,"Marietta, GA",Not provided,300+ Guests,5.0,3,"The Foxglove is a characterful wedding venue in Marietta, GA, located in the historic district."
Brumby Hall & Gardens,"Marietta, GA","$1,750",151-200 Guests,4.0,2,"Brumby Hall & Gardens is a historic wedding venue in Marietta, GA, surrounded by meticulously kept gardens."
Conservatory at Waterstone,"Acworth, GA","$9,300",201-250 Guests,4.9,103,"Conservatory at Waterstone is a historic banquet hall wedding venue in Acworth, GA, offering all-inclusive solutions."
The Cotton Gin at Mill Creek,"Hiram, GA","$13,000",151-200 Guests,5.0,100,"The Cotton Gin at Mill Creek is a truly all-inclusive wedding venue in Hiram, GA, offering a proven planning experience."
Ashton Gardens Atlanta by Walters Wedding Estates,"Sugar Hill, GA","$4,000",251-300 Guests,4.8,493,Ashton Gardens Atlanta is a premier wedding venue with a signature glass chapel surrounded by lush gardens.
The Wildflower Barn at Little River Farms,"Alpharetta, GA","$11,800",101-150 Guests,5.0,85,"The Wildflower Barn at Little River Farms is a historic, family-owned barn renovated for weddings and events."
Venue 92,"Woodstock, GA","$4,400",151-200 Guests,5.0,88,"Venue 92 in Woodstock, GA, offers flexible event spaces for romantic gardens, glamorous evenings, or lively parties."
